x;y;t
-1.2486;0.538548;2.65414
-1.26574;0.543348;2.65714
-1.27898;0.548244;2.65844
-1.29555;0.551848;2.65965
-1.32609;0.559011;2.66349
-1.33974;0.563366;2.6654
-1.35178;0.564457;2.66637
-1.36717;0.571493;2.66912
-1.38381;0.574183;2.67099
-1.40135;0.581413;2.67366
-1.42762;0.583672;2.67549
-1.44107;0.583327;2.67661
-1.47314;0.592706;2.68176
-1.48644;0.591484;2.68327
-1.50243;0.5938;2.68581
-1.5163;0.596227;2.68718
-1.53037;0.597814;2.68975
-1.54433;0.598148;2.69131
-1.56164;0.603159;2.6948
-1.57963;0.604821;2.69701
-1.59118;0.608251;2.69948
-1.60823;0.610182;2.70235
-1.61998;0.611406;2.70417
-1.6508;0.615697;2.71059
-1.66191;0.620882;2.71341
-1.67772;0.622337;2.71581
-1.69266;0.622714;2.71837
-1.713;0.62348;2.72197
-1.7258;0.624059;2.72468
-1.73946;0.626847;2.7274
-1.7684;0.627747;2.73349
-1.78567;0.626655;2.73656
-1.80181;0.62703;2.74034
-1.81822;0.626998;2.74407
-1.83251;0.627873;2.7477
-1.84675;0.626889;2.751
-1.86294;0.626577;2.75492
-1.89226;0.626614;2.76211
-1.90707;0.624918;2.76569
-1.93821;0.62135;2.77385
-1.95107;0.622545;2.77704
-1.96557;0.618771;2.78066
-1.98294;0.617157;2.78462
-1.99716;0.613155;2.78788
-2.01074;0.611487;2.79188
-2.0275;0.609142;2.79645
-2.05662;0.607913;2.80432
-2.08621;0.602637;2.81286
-2.09857;0.602092;2.817
-2.11526;0.602317;2.82195
-2.12642;0.598002;2.82496
-2.14276;0.596442;2.82966
-2.17233;0.59029;2.83787
-2.18875;0.590361;2.8417
-2.22056;0.58869;2.84958
-2.23496;0.582081;2.85294
-2.24853;0.575233;2.85639
-2.26181;0.576348;2.86015
-2.27768;0.573391;2.86323
-2.29102;0.570482;2.86659
-2.3071;0.561568;2.87052
-2.32091;0.565273;2.87569
-2.33691;0.560777;2.88032
-2.35047;0.559337;2.88374
-2.36412;0.555805;2.88708
-2.39814;0.545708;2.89493
-2.41292;0.542646;2.89889
-2.42894;0.537617;2.90356
-2.44228;0.538892;2.9085
-2.4593;0.532515;2.91158
-2.47338;0.528749;2.91555
-2.48697;0.521639;2.91849
-2.50152;0.516717;2.92241
-2.53505;0.513191;2.93134
-2.55007;0.506106;2.93511
-2.57867;0.497399;2.94234
-2.58687;0.491286;2.94518
-2.60512;0.486745;2.94958
-2.61922;0.484724;2.95391
-2.63601;0.478093;2.95777
-2.65149;0.477805;2.96262
-2.66535;0.471351;2.96584
-2.68137;0.462547;2.96898
-2.69622;0.462079;2.97418
-2.71015;0.456947;2.97938
-2.7367;0.445135;2.98548
-2.74875;0.437825;2.98881
-2.76459;0.432941;2.99301
-2.77799;0.42905;2.99738
-2.79284;0.423593;3.00205
-2.80907;0.418667;3.00583
-2.81972;0.411605;3.00917
-2.85024;0.410491;3.01993
-2.859;0.400138;3.02182
-2.88836;0.384705;3.02836
-2.90234;0.379588;3.03313
-2.91591;0.370736;3.03617
-2.92945;0.36762;3.04121
-2.94542;0.363166;3.04506
-2.95812;0.360188;3.04932
-2.97285;0.354123;3.05249
-2.99897;0.34231;3.05927
-3.01429;0.335726;3.0639
-3.03941;0.319656;3.06957
-3.05451;0.31625;3.07464
-3.0656;0.309951;3.0787
-3.07961;0.302822;3.08117
-3.09454;0.304069;3.08752
-3.10562;0.289375;3.08905
-3.12291;0.283555;3.09287
-3.13371;0.278915;3.09715
