Steer;Driving
5598;10836660
5598;10841617
5598;10852660
5598;10860485
5598;10868535
5598;10871685
5598;10877703
5598;10885569
5598;10891812
5598;10904038
5598;10912963
5598;10920589
5598;10926524
5598;10931094
5598;10938653
5598;10943161
5604;10949062
5616;10956760
5642;10962821
5662;10964503
5700;10982738
5722;10988831
5722;10992151
5732;10992151
5780;11010961
5798;11015518
5806;11022064
5818;11022064
5900;11041560
5922;11046459
5978;11059048
5992;11063741
6016;11066792
6048;11077640
6072;11085437
6100;11091806
6120;11097988
6130;11102899
6160;11111375
6200;11122423
6238;11128877
6258;11130365
6310;11136733
6374;11147792
6384;11152622
6426;11161884
6504;11166697
6540;11171597
6590;11179418
6632;11182539
6754;11195440
6872;11204858
6932;11209605
7012;11215988
7086;11222157
7170;11228670
7232;11234902
7274;11241074
7392;11252025
7494;11258535
7590;11266561
7652;11270708
7682;11272595
7744;11276944
7792;11279955
7824;11282040
7872;11285084
7898;11286658
7928;11289076
7972;11291852
7990;11293160
8000;11294332
8014;11295523
8026;11296553
8028;11296715
8038;11297455
8050;11298265
8054;11298505
8054;11298619
8054;11298584
8046;11297216
8024;11295422
7992;11294385
7946;11292053
7920;11289701
7892;11287535
7862;11285372
7726;11276723
7626;11267964
7546;11264300
7496;11260478
7412;11252771
7360;11250053
7268;11241643
7216;11237536
7144;11233232
7110;11226123
7004;11220269
6920;11214433
6800;11202644
6762;11198528
6702;11191554
6668;11187376
6640;11180783
6544;11170418
6528;11166572
6472;11156508
6442;11149764
6428;11144191
6410;11139897
6402;11137174
6382;11129695
6362;11121913
6336;11112618
6286;11096862
6270;11091918
6252;11085545
6232;11077860
6222;11073110
6212;11064913
6190;11059714
6178;11055088
6168;11046758
6130;11034792
6112;11026501
6088;11017946
6072;11009705
6060;11001522
6056;10993184
6052;10990149
6030;10981862
6030;10975292
6030;10968648
6030;10963770
6028;10949005
6028;10935789
6028;10930807
6028;10924073
6026;10919306
6022;10909243
6020;10904550
6018;10899535
6014;10893027
6008;10880026
6004;10871805
5988;10859152
5980;10854343
5972;10847726
5956;10839691
5948;10834635
5938;10828438
5926;10820217
5922;10815417
5914;10808777
5904;10802159
5890;10791063
5858;10776454
5848;10770260
5844;10766994
5840;10764029
5826;10751435
5818;10746964
5814;10739234
5808;10734430
5802;10729593
5796;10723192
5788;10715008
5782;10708722
5770;10697556
5766;10689710
5762;10684969
5760;10678676
5756;10672136
5752;10659095
5750;10654595
5748;10639750
5746;10636394
5744;10629772
5744;10619965
5742;10615261
5740;10608485
5740;10602118
5740;10594313
5738;10582912
5738;10576839
5738;10565959
5738;10559722
5738;10553366
5738;10545299
5738;10539144
5738;10534577
5738;10526511
5738;10521512
5738;10516688
5738;10508796
5738;10505603
5738;10505603
5738;10505603
5738;10505603
5742;10470980
5746;10467473
5752;10458220
5766;10445654
5772;10440919
5776;10436390
5788;10424148
5794;10416387
5800;10409861
5806;10402028
5812;10395576
5818;10389395
5822;10384359
5830;10371728
5834;10367063
5838;10359200
5840;10354592
5844;10346663
5848;10338970
5848;10335649
5858;10323124
5866;10315290
5878;10304038
5890;10299204
5896;10296056
5916;10284797
5928;10276747
5944;10271934
5960;10267336
5986;10259471
6002;10254854
6020;10248660
6044;10240645
6076;10228533
6086;10223956
6098;10217749
6112;10209679
6122;10203434
6126;10198751
6134;10192281
6138;10185954
6146;10176164
6148;10166322
6168;10152713
6168;10151315
6168;10147834
6170;10141254
6170;10127918
6170;10119717
6170;10114903
6172;10102486
6172;10096143
6174;10083216
6174;10076806
6174;10070399
6174;10065528
6174;10057479
6174;10052695
6174;10047866
6174;10033428
6174;10028528
6174;10017100
6174;10017100
6174;10005756
6174;10005756
6174;9989426
6174;9982907
6174;9974516
6174;9966722
6174;9952109
6174;9947297
6174;9937695
6174;9934300
6174;9928004
6174;9918399
6174;9915071
6174;9899416
6174;9886405
6174;9886405
6174;9878417
6174;9878417
6174;9863979
6174;9863979
6174;9863979
6174;9863979
6174;9844292
6174;9826058
6174;9819614
6174;9816586
6174;9805128
6174;9803773
6174;9799059
6174;9799059
6174;9770877
6174;9761273
6174;9754824
6174;9750184
6174;9750184
6174;9750184
6174;9745605
6160;9724846
6152;9715187
6128;9705822
6122;9699558
6114;9694623
6106;9691507
6098;9686601
6078;9673492
6068;9670267
6018;9655139
5998;9648710
5956;9633808
5924;9630220
5896;9620471
5882;9617044
5870;9612267
5854;9604201
5836;9596045
5826;9591187
5816;9583034
5796;9571544
5784;9566852
5774;9558759
5760;9550784
5748;9544270
5742;9539236
5738;9534416
5734;9521313
5734;9512946
5734;9501703
5732;9493669
5732;9488702
5732;9485515
5732;9475749
5732;9469651
5732;9463383
5732;9453634
5732;9445319
5732;9433551
5732;9425006
5732;9416689
5732;9413100
5732;9402816
5732;9401046
5732;9393117
5732;9386490
5732;9371680
5732;9365486
5732;9358952
5732;9352659
5732;9346063
5732;9341457
5732;9333423
5732;9329947
5732;9322044
5732;9307513
5732;9304560
5732;9291925
5732;9285595
5732;9281031
5732;9271607
5732;9265221
5732;9259095
5732;9249507
5732;9241762
5732;9229151
5732;9222605
5732;9216064
5732;9211289
5732;9206123
5732;9201113
5732;9195992
5732;9183903
5732;9177323
5732;9168829
5732;9163842
5732;9155530
5732;9150654
5732;9140968
5732;9131074
5732;9126408
5732;9118304
5732;9112021
5732;9107250
5732;9099473
5732;9094788
5732;9080668
5732;9076239
5732;9064168
5732;9059518
5732;9051863
5732;9045370
5732;9040791
5732;9032604
5732;9028076
5732;9021498
5732;9008793
5732;9002191
5732;8994081
5732;8982635
5732;8976159
5732;8969580
5732;8964730
5732;8964730
5732;8945496
5732;8937376
5732;8927686
5732;8917718
5732;8912839
5732;8904614
5732;8899954
5732;8895026
5732;8888467
5732;8881691
5732;8875076
5732;8863279
5732;8854989
5732;8840337
5732;8835314
5732;8830566
5732;8822738
5732;8817843
5732;8810029
5732;8803465
5732;8791980
5732;8780493
5732;8772239
5732;8764020
5732;8762356
5732;8755830
5732;8747673
5732;8738160
5732;8733508
5732;8733508
5732;8721928
5732;8713814
5732;8700451
5732;8695664
5732;8690670
5732;8682391
5732;8677538
5732;8669212
5732;8662631
5732;8661085
5732;8650928
5734;8650928
5802;8626667
5834;8616715
5886;8611747
5920;8605531
5982;8599382
6018;8592922
6030;8588140
6138;8575691
6210;8559877
6246;8556829
6276;8548708
6296;8542652
6314;8537816
6336;8531628
6350;8525593
6374;8519088
6422;8507144
6468;8496388
6502;8489007
6532;8484227
6554;8476634
6580;8473350
6612;8464020
6626;8459488
6642;8451604
6656;8445653
6666;8436576
6674;8423115
6680;8418671
6682;8412733
6682;8406663
6682;8400578
6682;8388014
6682;8380145
6682;8367372
6682;8365678
6682;8354631
6682;8346577
6682;8343405
6682;8338639
6682;8332241
6682;8324343
6682;8311958
6682;8308633
6682;8300950
6682;8288604
6684;8282624
6684;8278001
6684;8268714
6684;8264059
6684;8259505
6684;8245484
6684;8232745
6684;8226105
6684;8219743
6684;8214837
6684;8208483
6684;8201993
6684;8195538
6684;8185995
6684;8170676
6684;8165816
6684;8160984
6684;8151334
6684;8146782
6684;8138531
6684;8132139
6684;8127226
6684;8122378
6684;8112614
6684;8109448
6684;8098197
6684;8091549
6684;8083512
6686;8083512
6688;8075357
6688;8055487
6688;8050827
6688;8037522
6688;8033986
6688;8024419
6688;8017775
6688;8012847
6688;8004778
6688;8001547
6688;7998046
6688;7980426
6688;7974074
6688;7959638
6688;7958107
6688;7958107
6688;7943916
